═══════════════════════════════════════════════════════════════
    LOG DE ALERTAS DE SEGURANÇA - Monitor eBPF
    Iniciado em: 2025-12-14 19:39:40
═══════════════════════════════════════════════════════════════

[2025-12-14 19:40:02.693] [PERIGO] [DEADLOCK_POTENCIAL] DEADLOCK POTENCIAL! Threads vão adquirir recursos em ordem diferente - risco de espera circular | Threads: [Thread-A,Thread-B] | Recursos: [R1,R2]
[2025-12-14 19:40:03.716] [CRITICO] [DEADLOCK_CONFIRMADO] DEADLOCK CONFIRMADO! Espera circular detetada entre threads. | Threads: [Thread-A,Thread-B] | Recursos: [R2,R1]
[2025-12-14 19:40:04.717] [CRITICO] [DEADLOCK_CONFIRMADO] DEADLOCK CONFIRMADO! Espera circular detetada entre threads. | Threads: [Thread-A,Thread-B] | Recursos: [R2,R1]
[2025-12-14 19:40:05.719] [CRITICO] [DEADLOCK_CONFIRMADO] DEADLOCK CONFIRMADO! Espera circular detetada entre threads. | Threads: [Thread-A,Thread-B] | Recursos: [R2,R1]
[2025-12-14 19:40:06.720] [CRITICO] [DEADLOCK_CONFIRMADO] DEADLOCK CONFIRMADO! Espera circular detetada entre threads. | Threads: [Thread-A,Thread-B] | Recursos: [R2,R1]
[2025-12-14 19:40:07.722] [CRITICO] [DEADLOCK_CONFIRMADO] DEADLOCK CONFIRMADO! Espera circular detetada entre threads. | Threads: [Thread-A,Thread-B] | Recursos: [R2,R1]
[2025-12-14 19:40:07.896] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 5045ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:07.896] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 5043ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:07.998] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 5152ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:07.998] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 5152ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:08.099] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 5253ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:08.099] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 5253ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:08.200] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 5354ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:08.202] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 5356ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:08.302] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 5456ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:08.304] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 5458ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
